id,date,awnd,prcp,snow,snwd,tmax,tmin,tsun,wdf2,wdf5,wsf2,wsf5,wt01,wt02,wt03,wt04,wt06,wt08
USW00094728,2020-01-01,38,0,0,0,50,11,NA,270,260,76,130,NA,NA,NA,NA,NA,NA
USW00094728,2020-01-02,24,0,0,0,94,6,NA,230,220,58,98,NA,NA,NA,NA,NA,NA
USW00094728,2020-01-03,15,38,0,0,94,67,NA,250,230,45,67,1,NA,NA,NA,NA,1
USW00094728,2020-01-04,20,69,0,0,106,50,NA,300,330,67,107,1,1,NA,NA,NA,NA
USW00094728,2020-01-05,51,0,0,0,56,17,NA,300,300,112,192,NA,NA,NA,NA,NA,NA
USW00094728,2020-01-06,27,10,5,0,72,0,NA,250,230,72,103,1,NA,NA,NA,NA,NA
USW00094728,2020-01-07,23,0,0,0,72,22,NA,230,240,72,121,NA,NA,NA,NA,NA,NA
USW00094728,2020-01-08,43,0,0,0,56,-21,NA,270,280,94,157,NA,NA,NA,NA,NA,1
USW00094728,2020-01-09,20,0,0,0,11,-49,NA,300,290,76,116,NA,NA,NA,NA,NA,NA
USW00094728,2020-01-10,28,0,0,0,128,6,NA,240,220,63,112,NA,NA,NA,NA,NA,NA
USW00094728,2020-01-11,24,0,0,0,206,106,NA,230,210,67,130,NA,NA,NA,NA,NA,NA
USW00094728,2020-01-12,39,13,0,0,200,61,NA,260,240,98,152,1,NA,NA,NA,NA,NA
USW00094728,2020-01-13,20,0,0,0,78,28,NA,50,70,63,81,NA,NA,NA,NA,NA,1
USW00094728,2020-01-14,17,18,0,0,78,39,NA,140,140,54,63,1,NA,NA,NA,NA,NA
USW00094728,2020-01-15,23,0,0,0,100,50,NA,270,270,58,89,1,NA,NA,NA,NA,1
USW00094728,2020-01-16,46,28,0,0,94,6,NA,290,270,98,179,1,NA,NA,NA,NA,1
USW00094728,2020-01-17,48,0,0,0,6,-60,NA,300,310,107,188,NA,NA,NA,NA,NA,NA
USW00094728,2020-01-18,22,94,53,0,28,-66,NA,250,230,76,116,1,1,NA,NA,NA,1
